iter	Logloss
0	0.6825378949
1	0.6756592037
2	0.6662177414
3	0.6570050141
4	0.6482259202
5	0.6413974382
6	0.6338938778
7	0.6242268477
8	0.6155402501
9	0.6077612501
10	0.6004047118
11	0.593220581
12	0.5853484121
13	0.5792711648
14	0.5731984909
15	0.5675504724
16	0.561621543
17	0.5550880272
18	0.5497695997
19	0.5442182764
20	0.5395434926
21	0.5331497145
22	0.5279325904
23	0.523305752
24	0.5196283955
25	0.5169451423
26	0.5124623423
27	0.5084455751
28	0.5046918618
29	0.5002766026
30	0.4975052462
31	0.4936219559
32	0.4905959875
33	0.487548524
34	0.4859578306
35	0.4824786823
36	0.4784134912
37	0.474521994
38	0.4721742845
39	0.4682577746
40	0.4654410503
41	0.4621418751
42	0.4593615909
43	0.4562085779
44	0.4532837098
45	0.4510955725
46	0.4483606291
47	0.4457953113
48	0.4431285152
49	0.4416160477
50	0.4399956906
51	0.4389022319
52	0.4367653876
53	0.434864957
54	0.4326756703
55	0.4300191786
56	0.427990171
57	0.4257320761
58	0.4235271782
59	0.4219722049
60	0.4199956903
61	0.4182667787
62	0.4172112353
63	0.4150271674
64	0.4133594567
65	0.4120647766
66	0.4113704708
67	0.4099918329
68	0.4082717474
69	0.4071426396
70	0.4062478389
71	0.4047216993
72	0.4033554079
73	0.4020779688
74	0.4015098245
75	0.4005963328
76	0.3995134458
77	0.3982398186
78	0.3977514534
79	0.3962286371
80	0.3946826254
81	0.3931781718
82	0.3922265113
83	0.3908299003
84	0.3896439891
85	0.3882243581
86	0.3877284607
87	0.38638985
88	0.3855015366
89	0.3850294573
90	0.3841009695
91	0.3831122147
92	0.381929206
93	0.3812528527
94	0.3803586223
95	0.3793636389
96	0.3789559468
97	0.3782887084
98	0.3772934548
99	0.3762598116
100	0.3759761111
101	0.3749494388
102	0.3745995199
103	0.374122385
104	0.3732444335
105	0.3727437798
106	0.3724458165
107	0.3720918155
108	0.3716029827
109	0.3711782174
110	0.3708437028
111	0.3705591199
112	0.3696731407
113	0.3690680973
114	0.3685241329
115	0.3674928578
116	0.3669115069
117	0.3662851273
118	0.3656532502
119	0.3650559049
120	0.3641990144
121	0.3634376196
122	0.3629719996
123	0.362475008
124	0.3618256177
125	0.3615328398
126	0.3611365543
127	0.3603663319
128	0.3597714633
129	0.3589607891
130	0.3585154113
131	0.3581131953
132	0.3573794215
133	0.3567629257
134	0.3563090075
135	0.3560929205
136	0.3560259064
137	0.3552362483
138	0.3548666665
139	0.3542612457
140	0.3535658919
141	0.3529885518
142	0.3526122831
143	0.3523444626
144	0.3517632478
145	0.3514031476
146	0.3513913876
147	0.3509995101
148	0.3503381715
149	0.3498362514
150	0.349440659
151	0.3490504868
152	0.3482604441
153	0.3479531388
154	0.347561633
155	0.3470006878
156	0.346839914
157	0.3465812483
158	0.3462247332
159	0.3460465197
160	0.3456522964
161	0.3453463898
162	0.3450558847
163	0.3445938812
164	0.344261045
165	0.343670545
166	0.3435414951
167	0.3433170663
168	0.342856846
169	0.3423049284
170	0.3416841075
171	0.3412701284
172	0.3410285322
173	0.3408405858
174	0.3405234767
175	0.3402362778
176	0.3400902157
177	0.3391949444
178	0.338630469
179	0.3382048945
180	0.3376724537
181	0.3372459928
182	0.3369762399
183	0.3365573563
184	0.3363073716
185	0.3358774151
186	0.3356178322
187	0.3353903541
188	0.3352124009
189	0.3348185879
190	0.3346186159
191	0.3344299794
192	0.3342073558
193	0.3338901077
194	0.3337089751
195	0.3335519927
196	0.3333620306
197	0.3332461942
198	0.3330848135
199	0.3329856363
200	0.3323248437
201	0.3320114934
202	0.3314803243
203	0.3312575314
204	0.3308202932
205	0.3307331671
206	0.3302852867
207	0.3297362026
208	0.3295100296
209	0.3292554834
210	0.3289438168
211	0.3287503652
212	0.3283773604
213	0.3281166761
214	0.3277512327
215	0.3274892935
216	0.3269824907
217	0.3269084943
218	0.3266797336
219	0.3265146721
220	0.3262639577
221	0.3259893655
222	0.3257705386
223	0.3254381266
224	0.3251029177
225	0.3247479286
226	0.3245038743
227	0.3240628112
228	0.3236016367
229	0.3234476938
230	0.3233708307
231	0.3232094
232	0.3228161865
233	0.3225952903
234	0.3223509586
235	0.32217745
236	0.321774769
237	0.3216102848
238	0.3214906616
239	0.3210853825
240	0.3210542491
241	0.3207566307
242	0.320505417
243	0.3202861789
244	0.3201782728
245	0.3199907252
246	0.3198680734
247	0.3193897544
248	0.3190506784
249	0.318883408
250	0.3185733048
251	0.3184310536
252	0.3181555036
253	0.3180872079
254	0.3176874485
255	0.3173189888
256	0.3171568197
257	0.3169291784
258	0.3167307425
259	0.3165214804
260	0.3163364686
261	0.3161579923
262	0.3160517077
263	0.3158899616
264	0.3156714958
265	0.3155459102
266	0.3152207776
267	0.3150564612
268	0.3147297098
269	0.31456027
270	0.3144163015
271	0.3142916329
272	0.3141452235
273	0.3139828697
274	0.3134051097
275	0.3132735577
276	0.3131566727
277	0.3129508584
278	0.3127997528
279	0.3126994903
280	0.3124071426
281	0.3121608295
282	0.3117530648
283	0.3115761637
284	0.3113643031
285	0.3111653046
286	0.3108783304
287	0.3106461515
288	0.3104290128
289	0.3102945244
290	0.3102220274
291	0.3098764529
292	0.3094951703
293	0.309239034
294	0.3089976704
295	0.3088300709
