iter	Passed	Remaining
0	1	1764
1	2	1307
2	3	1237
3	5	1276
4	6	1260
5	7	1220
6	8	1190
7	9	1163
8	10	1147
9	11	1131
10	12	1132
11	13	1119
12	14	1110
13	15	1086
14	16	1078
15	17	1071
16	18	1056
17	19	1052
18	20	1049
19	21	1049
20	22	1048
21	23	1047
22	24	1045
23	25	1045
24	26	1026
25	27	1027
26	28	1027
27	29	1028
28	30	1027
29	31	1030
30	32	1028
31	33	1028
32	35	1026
33	36	1025
34	36	1010
35	37	1012
36	39	1015
37	40	1016
38	41	1017
39	42	1019
40	43	1020
41	44	1019
42	45	1019
43	46	1018
44	47	1018
45	49	1026
46	50	1031
47	52	1050
48	54	1059
49	56	1078
50	58	1080
51	59	1081
52	60	1083
53	62	1097
54	64	1116
55	67	1135
56	69	1155
57	72	1170
58	73	1166
59	75	1177
60	77	1193
61	79	1201
62	81	1210
63	83	1225
64	85	1234
65	88	1249
66	89	1250
67	91	1260
68	93	1259
69	95	1270
70	97	1279
71	100	1292
72	102	1300
73	104	1301
74	105	1306
75	106	1299
76	109	1306
77	110	1304
78	111	1299
79	112	1295
80	113	1290
81	114	1285
82	115	1280
83	116	1275
84	118	1270
85	119	1266
86	120	1261
87	121	1256
88	122	1252
89	123	1247
90	124	1243
91	125	1240
92	126	1236
93	127	1231
94	128	1227
95	129	1223
96	131	1220
97	132	1216
98	133	1212
99	134	1209
100	135	1208
101	136	1204
102	137	1201
103	139	1197
104	140	1194
105	141	1191
106	142	1188
107	143	1185
108	144	1182
109	145	1179
110	146	1176
111	148	1173
112	149	1170
113	150	1168
114	151	1165
115	152	1162
116	153	1160
117	154	1157
118	155	1154
119	157	1151
120	158	1149
121	159	1146
122	160	1142
123	161	1140
124	162	1137
125	163	1135
126	164	1133
127	165	1130
128	167	1128
129	168	1125
130	169	1123
131	170	1120
132	171	1118
133	172	1115
134	173	1113
135	174	1111
136	175	1105
137	176	1103
138	177	1101
139	178	1098
140	180	1096
141	181	1094
142	182	1092
143	183	1090
144	184	1087
145	185	1085
146	186	1080
147	187	1078
148	188	1076
149	189	1076
150	191	1074
151	192	1071
152	193	1069
153	194	1066
154	195	1064
155	196	1062
156	197	1059
157	198	1058
158	199	1056
159	200	1053
160	202	1053
161	203	1050
162	204	1048
163	205	1047
164	206	1045
165	207	1044
166	209	1044
167	211	1045
168	212	1044
169	214	1045
170	215	1043
171	216	1043
172	217	1041
173	218	1039
174	220	1037
175	221	1035
176	222	1033
177	223	1030
178	224	1029
179	225	1027
180	226	1025
181	227	1023
182	228	1021
183	229	1019
184	231	1017
185	232	1016
186	233	1016
187	235	1016
188	236	1016
189	238	1016
190	240	1016
191	241	1016
192	243	1019
193	245	1018
194	247	1020
195	249	1021
196	250	1020
197	253	1025
198	254	1024
199	255	1023
200	258	1028
201	260	1028
202	261	1027
203	263	1027
204	265	1028
205	267	1030
206	269	1033
207	272	1036
208	274	1039
209	277	1043
210	279	1045
